09 открытие	09 макс	09 мин	09 закрытие 	10 открыте	10 макс	10 мин	10 закрытие 	11 открыте	11 макс	11 мин	11 закрытие 	12 открыте	12 макс	12 мин	12 закрытие 
110470,00	110500,00	110440,00	110490,00	113780,00	113820,00	113720,00	113730,00	111000,00	111080,00	110960,00	110980,00	110490,00	110510,00	110430,00	110430,00
110490,00	110520,00	110410,00	110410,00	113720,00	113740,00	113660,00	113710,00	110970,00	111120,00	110960,00	111090,00	110430,00	110470,00	110410,00	110410,00
110430,00	110430,00	110390,00	110390,00	113700,00	113750,00	113600,00	113630,00	111090,00	111230,00	111090,00	111190,00	110420,00	110440,00	110340,00	110360,00
110410,00	110460,00	110410,00	110410,00	113640,00	113750,00	113610,00	113730,00	111210,00	111270,00	111150,00	111230,00	110360,00	110370,00	110300,00	110310,00
110410,00	110420,00	110380,00	110420,00	113730,00	113800,00	113720,00	113760,00	111230,00	111270,00	111150,00	111180,00	110310,00	110390,00	110270,00	110360,00
110410,00	110430,00	110400,00	110420,00	113760,00	113800,00	113680,00	113770,00	111200,00	111320,00	111170,00	111320,00	110360,00	110380,00	110220,00	110240,00
110400,00	110440,00	110400,00	110430,00	113770,00	113880,00	113770,00	113840,00	111320,00	111420,00	111290,00	111390,00	110250,00	110260,00	110180,00	110200,00
110430,00	110490,00	110400,00	110420,00	113830,00	113910,00	113810,00	113900,00	111400,00	111430,00	111300,00	111340,00	110200,00	110220,00	110180,00	110200,00
110430,00	110440,00	110300,00	110420,00	113890,00	113900,00	113760,00	113780,00	111320,00	111400,00	111310,00	111370,00	110220,00	110250,00	110120,00	110230,00
110510,00	110600,00	110500,00	110570,00	113710,00	113930,00	113600,00	113870,00	111410,00	111570,00	111410,00	111460,00	110040,00	110060,00	108920,00	109770,00
110560,00	110610,00	110560,00	110590,00	113860,00	113960,00	113820,00	113950,00	111470,00	111490,00	111330,00	111360,00	109780,00	109820,00	109210,00	109690,00
110600,00	110600,00	110530,00	110540,00	113950,00	113970,00	113920,00	113950,00	111360,00	111380,00	111280,00	111340,00	109700,00	109800,00	109670,00	109800,00
110500,00	110500,00	110470,00	110480,00	113950,00	113970,00	113860,00	113890,00	111320,00	111320,00	111250,00	111270,00	109810,00	109860,00	109730,00	109730,00
110470,00	110470,00	110430,00	110440,00	113880,00	113890,00	113810,00	113820,00	111260,00	111290,00	111230,00	111240,00	109720,00	109830,00	109720,00	109800,00
110440,00	110460,00	110440,00	110460,00	113820,00	113890,00	113800,00	113890,00	111250,00	111310,00	111240,00	111300,00	109800,00	109830,00	109750,00	109800,00
110460,00	110460,00	110430,00	110430,00	113880,00	113880,00	113820,00	113860,00	111290,00	111450,00	111280,00	111430,00	109790,00	109830,00	109770,00	109780,00
110460,00	110460,00	110400,00	110430,00	113850,00	113860,00	113820,00	113860,00	111450,00	111560,00	111430,00	111500,00	109770,00	109820,00	109700,00	109800,00
110420,00	110440,00	110380,00	110380,00	113870,00	113870,00	113800,00	113860,00	111510,00	111620,00	111450,00	111620,00	109810,00	109890,00	109760,00	109820,00
110380,00	110410,00	110350,00	110360,00	113840,00	113870,00	113720,00	113770,00	111620,00	111680,00	111550,00	111630,00	109830,00	109860,00	109790,00	109840,00
110360,00	110360,00	110350,00	110350,00	113750,00	113770,00	113640,00	113680,00	111640,00	111690,00	111600,00	111680,00	109830,00	109840,00	109770,00	109790,00
110360,00	110430,00	110350,00	110400,00	113680,00	113710,00	113620,00	113690,00	111680,00	111780,00	111660,00	111700,00	109780,00	109850,00	109770,00	109850,00
110430,00	110450,00	110390,00	110390,00	113690,00	113750,00	113670,00	113720,00	111700,00	111740,00	111610,00	111630,00	109850,00	109860,00	109790,00	109800,00
110440,00	110450,00	110420,00	110420,00	113710,00	113760,00	113700,00	113750,00	111620,00	111640,00	111550,00	111570,00	109810,00	109850,00	109810,00	109810,00
110380,00	110380,00	110380,00	110380,00	113740,00	113820,00	113740,00	113790,00	111570,00	111600,00	111490,00	111490,00	109800,00	109840,00	109800,00	109840,00
110440,00	110460,00	110390,00	110390,00	113800,00	113820,00	113740,00	113810,00	111490,00	111500,00	111340,00	111340,00	109830,00	109850,00	109750,00	109750,00
110440,00	110460,00	110420,00	110420,00	113810,00	113920,00	113810,00	113890,00	111360,00	111360,00	111280,00	111340,00	109750,00	109750,00	109680,00	109690,00
110420,00	110420,00	110410,00	110410,00	113880,00	113950,00	113870,00	113930,00	111330,00	111340,00	111270,00	111290,00	109700,00	109720,00	109650,00	109670,00
110400,00	110400,00	110380,00	110380,00	113950,00	113950,00	113900,00	113940,00	111290,00	111310,00	111250,00	111280,00	109660,00	109710,00	109650,00	109660,00
110360,00	110380,00	110350,00	110380,00	113950,00	113990,00	113920,00	113930,00	111270,00	111270,00	111150,00	111170,00	109680,00	109720,00	109650,00	109700,00
